Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX (�/s),gY (�/s),gZ (�/s)
34573,1.02,0.00,-0.01,29.09,2.14,0.64,0.11
34677,1.03,0.00,-0.02,29.00,2.11,0.83,0.18
34573,1.02,0.00,-0.01,29.09,2.14,0.64,0.11
34677,1.03,0.00,-0.02,29.00,2.11,0.83,0.18
27,1.03,0.00,-0.00,29.09,2.32,0.79,0.04
172,1.03,0.00,-0.01,29.09,2.18,0.82,0.06
276,1.02,0.00,-0.01,29.00,2.29,0.75,-0.10
380,1.01,0.00,-0.01,29.14,2.40,0.69,0.13
485,1.02,0.01,-0.02,29.09,2.34,0.92,0.11
589,1.02,-0.00,-0.02,29.09,2.27,0.76,-0.15
694,1.02,0.00,-0.01,29.14,2.27,0.63,0.20
798,1.00,0.00,-0.01,29.19,2.53,0.80,-0.07
903,1.02,0.00,-0.01,29.14,2.39,0.70,-0.02
1007,1.02,0.01,-0.01,29.09,2.26,0.68,0.17
1112,1.02,-0.00,-0.02,29.05,2.37,0.66,0.09
1216,1.03,0.00,-0.01,29.09,2.16,0.84,0.19
1320,1.03,0.01,-0.02,29.05,2.31,0.69,0.22
1425,1.03,0.00,-0.02,29.14,2.11,0.93,0.02
1529,1.03,0.01,-0.02,29.00,2.20,0.85,0.24
1635,1.02,0.01,-0.02,29.05,2.31,0.76,0.05
1739,1.02,0.00,-0.01,29.09,2.38,0.66,0.03
1844,1.03,0.02,-0.01,29.05,2.47,0.82,0.02
1948,1.02,0.01,-0.01,29.05,2.32,0.87,0.15
2053,1.01,0.00,-0.02,29.19,2.35,0.67,0.21
2157,1.03,0.01,-0.01,29.05,2.18,0.66,0.12
2262,1.01,0.00,-0.01,29.14,2.13,0.79,0.14
2366,1.02,0.01,-0.02,29.09,2.34,0.79,0.15
2470,1.00,0.00,-0.01,29.05,2.32,0.82,0.25
2575,1.04,0.00,-0.01,29.05,2.37,0.68,0.02
2679,1.04,0.01,-0.02,29.09,2.38,0.65,0.09
2784,1.03,0.01,-0.00,29.09,2.34,0.65,0.10
2888,1.01,0.00,-0.02,29.14,2.32,0.95,-0.08
