Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX (�/s),gY (�/s),gZ (�/s)
12188,-0.00,0.99,0.00,30.18,2.25,0.73,0.02
12294,0.00,1.00,0.00,30.32,2.37,0.85,-0.10
12188,-0.00,0.99,0.00,30.18,2.25,0.73,0.02
12294,0.00,1.00,0.00,30.32,2.37,0.85,-0.10
27,0.03,1.00,-0.00,30.32,2.05,0.69,0.04
172,0.00,0.99,0.00,30.27,2.27,0.85,0.08
276,0.03,1.00,0.01,30.18,2.25,0.83,-0.04
380,0.03,1.00,0.00,30.18,2.27,0.81,0.03
485,0.03,1.00,0.00,30.22,2.29,0.55,-0.11
589,0.04,1.00,0.00,30.22,2.19,0.79,0.23
694,-0.01,0.99,0.00,30.22,2.34,0.75,0.04
798,0.04,1.00,0.01,30.22,2.26,0.71,0.15
903,-0.00,1.00,0.01,30.22,2.38,0.74,-0.03
1007,-0.00,0.99,-0.01,30.18,2.14,0.76,0.13
1112,0.03,1.01,0.00,30.13,2.35,0.87,0.05
1216,0.02,0.99,0.01,30.22,2.46,0.94,0.16
1320,-0.01,0.99,0.01,30.22,2.29,0.63,0.02
1425,-0.00,0.99,0.00,30.22,2.31,0.97,0.13
1529,0.04,1.01,0.00,30.22,2.14,0.87,0.26
1634,-0.00,0.99,-0.00,30.22,2.24,0.82,0.05
1739,0.05,1.01,0.00,30.32,2.12,0.74,0.11
1844,0.02,1.01,0.00,30.22,2.13,0.78,-0.02
1948,-0.00,0.99,0.00,30.22,2.39,0.74,0.05
2053,0.02,1.00,0.01,30.22,2.20,0.73,0.19
2157,0.04,1.01,-0.00,30.22,2.26,0.66,0.12
2262,-0.00,0.99,0.00,30.22,2.21,0.76,0.11
2366,0.03,1.00,-0.00,30.22,2.11,0.75,0.11
2470,0.03,1.01,0.01,30.22,2.33,0.69,-0.03
2575,-0.01,0.99,-0.00,30.32,2.19,0.63,0.02
2679,0.01,0.99,-0.00,30.22,2.15,0.73,0.10
2784,0.04,1.00,0.00,30.13,2.28,0.73,0.11
2888,-0.01,0.99,-0.00,30.22,2.30,0.70,0.03
2993,0.03,1.00,0.00,30.22,2.40,0.73,0.13
3097,-0.01,0.99,0.01,30.27,2.12,0.75,0.18
3202,-0.00,0.99,0.02,30.18,2.41,0.79,0.14
3306,-0.00,0.99,-0.01,30.18,2.30,0.81,0.14
3410,0.02,0.99,0.00,30.27,2.41,0.78,0.11
3515,0.04,1.01,0.01,30.27,2.29,0.71,0.02
3620,0.02,1.00,-0.00,30.32,2.22,0.59,0.08
3725,0.03,1.01,-0.00,30.18,2.45,0.62,0.11
3829,0.04,1.01,0.01,30.32,2.28,0.73,0.06
3934,-0.00,0.99,-0.00,30.32,2.30,0.81,0.20
4038,0.04,1.01,0.01,30.13,2.21,0.80,0.16
4143,0.04,1.01,0.01,30.18,2.52,0.88,0.17
4247,-0.01,0.99,-0.00,30.27,2.25,0.65,0.04
4352,0.01,0.99,-0.00,30.27,2.42,1.00,0.16
4456,0.04,1.00,0.00,30.27,2.32,0.68,0.12
4560,0.04,1.01,0.00,30.18,2.31,0.67,0.00
4665,0.02,1.01,0.01,30.18,2.16,0.71,0.01
4769,0.00,0.99,0.00,30.27,2.26,0.60,0.03
4874,0.01,0.99,0.01,30.27,2.37,0.76,0.06
4978,0.04,1.01,-0.00,30.27,2.24,0.79,0.15
5083,0.03,1.00,0.00,30.08,2.18,0.76,0.20
5187,0.04,1.00,0.00,30.27,2.21,0.71,-0.15
5292,0.03,1.00,0.01,30.18,2.42,0.50,0.15
5396,0.01,0.99,-0.01,30.18,2.08,0.76,0.03
5500,0.00,0.99,-0.00,30.27,2.31,0.56,0.10
5605,0.04,1.01,0.01,30.27,2.27,0.78,0.17
5710,0.00,1.00,0.01,30.18,2.24,0.82,0.31
5815,-0.00,1.00,-0.00,30.18,2.18,0.65,0.01
5919,-0.01,0.98,0.01,30.27,2.53,0.81,0.08
6024,0.04,1.00,0.00,30.18,2.42,0.73,0.06
6128,0.04,1.00,0.00,30.18,2.31,0.78,0.16
6233,0.03,1.00,0.00,30.27,2.26,0.67,0.05
6337,0.03,1.01,0.01,30.32,2.16,0.85,0.11
6441,-0.00,0.99,0.00,30.22,2.37,0.67,0.03
