Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX (�/s),gY (�/s),gZ (�/s)
27,-0.03,-0.00,-1.04,28.06,2.26,0.60,0.10
174,-0.02,-0.01,-1.04,28.11,2.27,0.69,-0.03
278,-0.03,-0.01,-1.05,28.20,2.27,0.75,0.05
382,-0.03,-0.01,-1.04,28.20,2.29,0.69,-0.02
487,-0.02,-0.01,-1.04,28.11,2.33,0.81,0.15
591,-0.03,-0.01,-1.04,28.15,2.42,0.87,0.27
696,-0.03,-0.00,-1.05,28.06,2.42,0.60,0.15
800,-0.03,-0.01,-1.05,28.15,2.26,0.62,0.16
905,-0.03,-0.01,-1.05,28.15,2.34,0.69,0.13
1009,-0.02,0.00,-1.04,28.15,2.40,0.72,0.11
1114,-0.02,-0.00,-1.05,28.20,2.21,0.83,0.24
1218,-0.03,-0.00,-1.04,28.11,2.31,0.73,-0.03
1324,-0.02,-0.01,-1.04,28.25,2.42,0.73,0.17
1428,-0.03,-0.00,-1.04,28.06,2.10,0.80,0.08
1532,-0.02,-0.00,-1.04,28.20,2.46,0.64,0.12
1637,-0.03,-0.00,-1.04,28.11,2.18,0.77,-0.04
1741,-0.02,-0.01,-1.04,28.11,2.11,0.76,0.11
1846,-0.03,-0.00,-1.04,28.06,2.44,0.72,0.23
1950,-0.03,-0.00,-1.04,28.15,2.42,0.73,0.10
2055,-0.03,-0.00,-1.04,28.15,2.34,0.79,0.13
2159,-0.02,-0.01,-1.04,28.11,2.46,0.59,0.22
2264,-0.03,-0.00,-1.04,28.11,2.31,0.76,0.11
2368,-0.02,-0.01,-1.05,28.15,2.08,0.63,0.08
2472,-0.02,-0.00,-1.04,28.06,2.35,0.70,0.15
2577,-0.03,-0.01,-1.04,28.15,2.22,0.81,0.05
2681,-0.02,-0.01,-1.05,28.11,2.52,0.82,-0.02
2787,-0.03,-0.00,-1.04,28.20,2.25,0.73,0.18
2891,-0.03,-0.01,-1.04,28.11,2.37,0.82,-0.02
2996,-0.03,-0.01,-1.04,28.20,2.26,0.72,-0.08
3100,-0.02,-0.01,-1.05,28.15,2.31,0.69,0.04
3205,-0.02,-0.01,-1.04,28.11,2.27,0.81,0.11
3309,-0.02,-0.00,-1.05,28.11,2.34,0.74,-0.02
3414,-0.03,-0.01,-1.04,28.15,2.31,0.69,0.00
3518,-0.02,-0.01,-1.04,28.06,2.19,0.69,-0.01
3622,-0.03,0.00,-1.05,28.11,2.29,0.72,0.03
3727,-0.03,-0.01,-1.04,28.20,2.24,0.64,0.07
3831,-0.03,-0.00,-1.04,28.06,2.28,0.88,0.08
3936,-0.02,-0.00,-1.04,28.25,2.37,0.67,0.21
4040,-0.02,-0.01,-1.04,28.11,2.08,0.80,0.05
4145,-0.02,-0.00,-1.04,28.11,2.24,0.83,0.20
4250,-0.02,-0.01,-1.04,28.15,2.24,0.79,0.17
4355,-0.02,-0.00,-1.05,28.06,2.34,0.85,0.07
4459,-0.03,-0.01,-1.04,28.11,2.21,0.81,-0.07
4563,-0.03,-0.00,-1.04,28.11,2.15,0.85,0.14
4668,-0.03,-0.00,-1.04,28.15,2.41,0.60,0.23
4772,-0.02,-0.01,-1.04,28.06,2.24,0.66,0.22
4877,-0.03,-0.00,-1.04,28.11,2.41,0.75,-0.05
4981,-0.02,-0.01,-1.03,28.11,2.27,0.73,0.20
5086,-0.02,-0.00,-1.05,28.11,2.15,0.69,0.15
5190,-0.03,-0.01,-1.05,28.15,2.37,0.80,0.12
5295,-0.03,-0.00,-1.05,28.15,2.31,0.67,0.04
5399,-0.02,-0.01,-1.04,28.11,2.40,0.79,0.13
5504,-0.02,-0.01,-1.04,28.11,2.50,0.68,0.00
5608,-0.03,-0.01,-1.04,28.11,2.42,0.81,0.15
5713,-0.02,-0.01,-1.04,28.20,2.40,0.69,0.15
5818,-0.02,0.00,-1.05,28.06,2.31,0.61,0.08
5922,-0.02,-0.01,-1.04,28.11,2.37,0.80,0.30
6027,-0.03,-0.00,-1.04,28.20,2.20,0.76,0.04
6131,-0.03,-0.00,-1.05,28.11,2.22,0.66,0.22
6236,-0.03,-0.00,-1.04,28.20,2.40,0.84,0.24
6340,-0.02,-0.01,-1.05,28.11,2.24,0.61,0.02
6445,-0.03,-0.01,-1.04,28.01,2.33,0.55,0.02
6549,-0.02,-0.01,-1.04,28.25,2.50,0.79,0.18
6653,-0.03,-0.00,-1.04,28.06,2.38,0.60,0.19
6758,-0.03,-0.01,-1.04,28.15,2.31,0.69,0.08
6862,-0.03,-0.01,-1.04,28.11,2.29,0.79,0.05
6967,-0.03,-0.00,-1.05,28.11,2.39,0.76,0.13
7071,-0.03,-0.00,-1.04,28.06,2.34,0.66,0.09
7176,-0.02,-0.00,-1.05,28.06,2.44,0.68,0.10
7281,-0.02,-0.00,-1.04,28.06,2.32,0.60,0.15
7386,-0.02,-0.01,-1.03,28.11,2.47,0.56,0.02
7490,-0.03,-0.01,-1.04,28.11,2.44,0.60,0.04
7595,-0.03,-0.01,-1.04,28.15,2.28,0.81,0.19
